ID Major Occupation Group,Major Occupation Group,ID Minor Occupation Group,Minor Occupation Group,ID Broad Occupation,Broad Occupation,ID Detailed Occupation,Detailed Occupation,ID Year,Year,ID Workforce Status,Workforce Status,Total Population,Total Population MOE Appx,Average Wage,Average Wage Appx MOE,Record Count,Slug Detailed Occupation,PUMS Industry,ID PUMS Industry,Slug PUMS Industry,ID Industry Sector,Industry Sector,Slug Industry Sector
"450000-490000","Natural resources, construction, & maintenance occupations","470000","Construction & Extraction Occupations","470000","Construction & Extraction Occupations","472140","Painters & paperhangers",2018,"2018","true","true",10601,2527.7421957629163,49351.24695783417,11960.360128452705,96,"painters-paperhangers","Manufacturing","31-33","manufacturing-31-33","31-33","Manufacturing","manufacturing"
"110000-290000","Management, business, science, & arts occupations","290000","Healthcare practitioners & technical occupations","290000","Healthcare practitioners & technical occupations","291126","Respiratory therapists",2018,"2018","true","true",402,492.25167353523113,76191.44776119402,49853.99356943952,5,"respiratory-therapists","Manufacturing","31-33","manufacturing-31-33","31-33","Manufacturing","manufacturing"
"510000-530000","Production, Transportation, & Material Moving Occupations","510000","Production Occupations","510000","Production Occupations","519191","Adhesive bonding machine operators & tenders",2018,"2018","true","true",8739,2295.054141451156,34712.28103902048,5792.794026265414,86,"adhesive-bonding-machine-operators-tenders","Manufacturing","31-33","manufacturing-31-33","31-33","Manufacturing","manufacturing"
"110000-290000","Management, business, science, & arts occupations","290000","Healthcare practitioners & technical occupations","290000","Healthcare practitioners & technical occupations","291131","Veterinarians",2018,"2018","true","true",353,461.2767855445609,162181.6175637394,66233.71928697475,5,"veterinarians","Manufacturing","31-33","manufacturing-31-33","31-33","Manufacturing","manufacturing"
"510000-530000","Production, Transportation, & Material Moving Occupations","510000","Production Occupations","510000","Production Occupations","516050","Tailors, dressmakers, & sewers",2018,"2018","true","true",10353,2498.0022670733747,30328.56563314981,6961.0109854839075,91,"tailors-dressmakers-sewers","Manufacturing","31-33","manufacturing-31-33","31-33","Manufacturing","manufacturing"
"110000-290000","Management, business, science, & arts occupations","290000","Healthcare practitioners & technical occupations","290000","Healthcare practitioners & technical occupations","291141","Registered nurses",2018,"2018","true","true",6089,1915.7502975420007,86847.73690261127,16557.796445325806,69,"registered-nurses","Manufacturing","31-33","manufacturing-31-33","31-33","Manufacturing","manufacturing"
"110000-290000","Management, business, science, & arts occupations","290000","Healthcare practitioners & technical occupations","290000","Healthcare practitioners & technical occupations","291210","Physicians",2018,"2018","true","true",1127,824.2046867731822,184865.48181011534,88037.15816571022,10,"physicians","Manufacturing","31-33","manufacturing-31-33","31-33","Manufacturing","manufacturing"
"450000-490000","Natural resources, construction, & maintenance occupations","470000","Construction & Extraction Occupations","470000","Construction & Extraction Occupations","472130","Insulation workers",2018,"2018","true","true",2068,1116.4699082818893,38981.25918762089,7535.987458292468,14,"insulation-workers","Manufacturing","31-33","manufacturing-31-33","31-33","Manufacturing","manufacturing"
"110000-290000","Management, business, science, & arts occupations","290000","Healthcare practitioners & technical occupations","290000","Healthcare practitioners & technical occupations","292010","Clinical laboratory technologists & technicians",2018,"2018","true","true",3325,1415.6821432093695,63342.17744360902,14771.186910515162,36,"clinical-laboratory-technologists-technicians","Manufacturing","31-33","manufacturing-31-33","31-33","Manufacturing","manufacturing"
"510000-530000","Production, Transportation, & Material Moving Occupations","510000","Production Occupations","510000","Production Occupations","516060","Textile machine setters, operators, and tenders",2018,"2018","true","true",21909,3633.743039173779,28543.695558902735,2220.0721609781817,194,"textile-machine-setters-operators-and-tenders","Manufacturing","31-33","manufacturing-31-33","31-33","Manufacturing","manufacturing"
"110000-290000","Management, business, science, & arts occupations","290000","Healthcare practitioners & technical occupations","290000","Healthcare practitioners & technical occupations","292034","Radiologic technologists and technicians",2018,"2018","true","true",1629,990.9070876234939,58217.815837937385,17194.991061605033,14,"radiologic-technologists-and-technicians","Manufacturing","31-33","manufacturing-31-33","31-33","Manufacturing","manufacturing"
"510000-530000","Production, Transportation, & Material Moving Occupations","510000","Production Occupations","510000","Production Occupations","519160","Computer numerically controlled tool operators and programmers",2018,"2018","true","true",104415,7930.571724501311,47567.6170760906,1710.884693825187,1059,"computer-numerically-controlled-tool-operators-and-programmers","Manufacturing","31-33","manufacturing-31-33","31-33","Manufacturing","manufacturing"
"450000-490000","Natural resources, construction, & maintenance occupations","470000","Construction & Extraction Occupations","470000","Construction & Extraction Occupations","472121","Glaziers",2018,"2018","true","true",4313,1612.3459212936511,44947.965453280776,11258.186711277101,37,"glaziers","Manufacturing","31-33","manufacturing-31-33","31-33","Manufacturing","manufacturing"
"110000-290000","Management, business, science, & arts occupations","290000","Healthcare practitioners & technical occupations","290000","Healthcare practitioners & technical occupations","292052","Pharmacy technicians",2018,"2018","true","true",2848,1310.2091093566125,43303.707514044945,13982.870726158299,25,"pharmacy-technicians","Manufacturing","31-33","manufacturing-31-33","31-33","Manufacturing","manufacturing"
"110000-290000","Management, business, science, & arts occupations","290000","Healthcare practitioners & technical occupations","290000","Healthcare practitioners & technical occupations","292056","Veterinary technologists and technicians",2018,"2018","true","true",449,520.2322568559907,103187.87750556793,85872.3727622605,6,"veterinary-technologists-and-technicians","Manufacturing","31-33","manufacturing-31-33","31-33","Manufacturing","manufacturing"
"510000-530000","Production, Transportation, & Material Moving Occupations","510000","Production Occupations","510000","Production Occupations","519151","Photographic process workers & processing machine operators",2018,"2018","true","true",2707,1277.3648309697994,55395.11193202808,20447.96799730106,24,"photographic-process-workers-processing-machine-operators","Manufacturing","31-33","manufacturing-31-33","31-33","Manufacturing","manufacturing"
"110000-290000","Management, business, science, & arts occupations","290000","Healthcare practitioners & technical occupations","290000","Healthcare practitioners & technical occupations","292061","Licensed practical & licensed vocational nurses",2018,"2018","true","true",1801,1041.9071041048805,42518.79900055525,5504.491138601246,21,"licensed-practical-licensed-vocational-nurses","Manufacturing","31-33","manufacturing-31-33","31-33","Manufacturing","manufacturing"
"450000-490000","Natural resources, construction, & maintenance occupations","470000","Construction & Extraction Occupations","470000","Construction & Extraction Occupations","472111","Electricians",2018,"2018","true","true",86256,7208.4866665369955,69748.67563995549,3911.012319109528,920,"electricians","Manufacturing","31-33","manufacturing-31-33","31-33","Manufacturing","manufacturing"
"110000-290000","Management, business, science, & arts occupations","290000","Healthcare practitioners & technical occupations","290000","Healthcare practitioners & technical occupations","292072","Medical records specialists",2018,"2018","true","true",629,615.7425526442917,25250.759936406994,13502.793424110772,5,"medical-records-specialists","Manufacturing","31-33","manufacturing-31-33","31-33","Manufacturing","manufacturing"
"110000-290000","Management, business, science, & arts occupations","290000","Healthcare practitioners & technical occupations","290000","Healthcare practitioners & technical occupations","292081","Opticians, dispensing",2018,"2018","true","true",649,625.455137848903,33871.15716486903,16389.788520570222,8,"opticians-dispensing","Manufacturing","31-33","manufacturing-31-33","31-33","Manufacturing","manufacturing"
