ID Major Occupation Group,Major Occupation Group,ID Minor Occupation Group,Minor Occupation Group,ID Broad Occupation,Broad Occupation,ID Detailed Occupation,Detailed Occupation,ID Year,Year,ID Workforce Status,Workforce Status,Total Population,Total Population MOE Appx,Average Wage,Average Wage Appx MOE,Record Count,Slug Detailed Occupation,PUMS Industry,ID PUMS Industry,Slug PUMS Industry
"450000-490000","Natural resources, construction, & maintenance occupations","490000","Installation, maintenance, & repair occupations","490000","Installation, maintenance, & repair occupations","499091","Coin, vending, & amusement machine servicers & repairers",2017,"2017","true","true",983,769.7506645665244,16274.896236012208,11117.422503820859,6,"coin-vending-amusement-machine-servicers-repairers","Professional, Scientific & Management, and Administrative & Waste Management Services","54-56","professional-scientific-management-and-administrative-waste-management-services"
"450000-490000","Natural resources, construction, & maintenance occupations","470000","Construction & Extraction Occupations","470000","Construction & Extraction Occupations","472XXX","Brickmasons, blockmasons, stonemasons, & reinforcing iron & rebar workers",2017,"2017","true","true",1442,932.299108768269,29180.23786407767,13259.45065645908,16,"brickmasons-blockmasons-stonemasons-reinforcing-iron-rebar-workers","Professional, Scientific & Management, and Administrative & Waste Management Services","54-56","professional-scientific-management-and-administrative-waste-management-services"
"110000-290000","Management, business, science, & arts occupations","290000","Healthcare practitioners & technical occupations","290000","Healthcare practitioners & technical occupations","291051","Pharmacists",2017,"2017","true","true",1051,795.9294452952449,81511.84110371076,29846.976410252053,13,"pharmacists","Professional, Scientific & Management, and Administrative & Waste Management Services","54-56","professional-scientific-management-and-administrative-waste-management-services"
"110000-290000","Management, business, science, & arts occupations","150000-190000","Computer, engineering, & science occupations","190000","Life, physical, & social science occupations","192040","Environmental scientists & geoscientists",2017,"2017","true","true",25904,3951.1188335075767,82273.31844502779,10019.573006044362,277,"environmental-scientists-geoscientists","Professional, Scientific & Management, and Administrative & Waste Management Services","54-56","professional-scientific-management-and-administrative-waste-management-services"
"450000-490000","Natural resources, construction, & maintenance occupations","490000","Installation, maintenance, & repair occupations","490000","Installation, maintenance, & repair occupations","499094","Locksmiths & safe repairers",2017,"2017","true","true",14011,2905.953949595801,39200.60295482121,5312.547408741409,121,"locksmiths-safe-repairers","Professional, Scientific & Management, and Administrative & Waste Management Services","54-56","professional-scientific-management-and-administrative-waste-management-services"
"110000-290000","Management, business, science, & arts occupations","290000","Healthcare practitioners & technical occupations","290000","Healthcare practitioners & technical occupations","291060","Physicians & surgeons",2017,"2017","true","true",10369,2499.9306014174476,225774.01707011284,35447.112814349435,110,"physicians-surgeons","Professional, Scientific & Management, and Administrative & Waste Management Services","54-56","professional-scientific-management-and-administrative-waste-management-services"
"450000-490000","Natural resources, construction, & maintenance occupations","470000","Construction & Extraction Occupations","470000","Construction & Extraction Occupations","472221","Structural iron & steel workers",2017,"2017","true","true",2271,1169.9841742469869,38775.60369881109,10803.065242236296,20,"structural-iron-steel-workers","Professional, Scientific & Management, and Administrative & Waste Management Services","54-56","professional-scientific-management-and-administrative-waste-management-services"
"110000-290000","Management, business, science, & arts occupations","290000","Healthcare practitioners & technical occupations","290000","Healthcare practitioners & technical occupations","291071","Physician assistants",2017,"2017","true","true",1608,984.4993121609325,92792.940920398,28294.98235763613,10,"physician-assistants","Professional, Scientific & Management, and Administrative & Waste Management Services","54-56","professional-scientific-management-and-administrative-waste-management-services"
"110000-290000","Management, business, science, & arts occupations","150000-190000","Computer, engineering, & science occupations","190000","Life, physical, & social science occupations","192030","Chemists & materials scientists",2017,"2017","true","true",21204,3574.806047309289,73624.88455008488,9021.118673106343,193,"chemists-materials-scientists","Professional, Scientific & Management, and Administrative & Waste Management Services","54-56","professional-scientific-management-and-administrative-waste-management-services"
"110000-290000","Management, business, science, & arts occupations","150000-190000","Computer, engineering, & science occupations","190000","Life, physical, & social science occupations","192021","Atmospheric & space scientists",2017,"2017","true","true",2896,1321.203696772076,71395.42645027624,20295.368611908772,24,"atmospheric-space-scientists","Professional, Scientific & Management, and Administrative & Waste Management Services","54-56","professional-scientific-management-and-administrative-waste-management-services"
"450000-490000","Natural resources, construction, & maintenance occupations","470000","Construction & Extraction Occupations","470000","Construction & Extraction Occupations","472211","Sheet metal workers",2017,"2017","true","true",2511,1230.2529745278323,50146.07526881721,20346.936005087522,19,"sheet-metal-workers","Professional, Scientific & Management, and Administrative & Waste Management Services","54-56","professional-scientific-management-and-administrative-waste-management-services"
"110000-290000","Management, business, science, & arts occupations","290000","Healthcare practitioners & technical occupations","290000","Healthcare practitioners & technical occupations","291122","Occupational therapists",2017,"2017","true","true",629,615.7425369543145,85668.12241653418,39287.40931388634,7,"occupational-therapists","Professional, Scientific & Management, and Administrative & Waste Management Services","54-56","professional-scientific-management-and-administrative-waste-management-services"
"450000-490000","Natural resources, construction, & maintenance occupations","490000","Installation, maintenance, & repair occupations","490000","Installation, maintenance, & repair occupations","4990XX","Miscellaneous installation, maintenance, & repair workers, including wind turbine service technicians",2017,"2017","true","true",44102,5155.123342049044,35507.22053421613,3454.3386945389616,391,"miscellaneous-installation-maintenance-repair-workers-including-wind-turbine-service-technicians","Professional, Scientific & Management, and Administrative & Waste Management Services","54-56","professional-scientific-management-and-administrative-waste-management-services"
"110000-290000","Management, business, science, & arts occupations","150000-190000","Computer, engineering, & science occupations","190000","Life, physical, & social science occupations","192010","Astronomers & physicists",2017,"2017","true","true",4075,1567.2294169150496,121331.01644171779,17700.42861893906,45,"astronomers-physicists","Professional, Scientific & Management, and Administrative & Waste Management Services","54-56","professional-scientific-management-and-administrative-waste-management-services"
"110000-290000","Management, business, science, & arts occupations","290000","Healthcare practitioners & technical occupations","290000","Healthcare practitioners & technical occupations","291123","Physical therapists",2017,"2017","true","true",2223,1157.5538989221138,58502.12685560054,17019.607554818565,22,"physical-therapists","Professional, Scientific & Management, and Administrative & Waste Management Services","54-56","professional-scientific-management-and-administrative-waste-management-services"
"510000-530000","Production, Transportation, & Material Moving Occupations","510000","Production Occupations","510000","Production Occupations","511011","Firstline supervisors of production & operating workers",2017,"2017","true","true",11584,2642.3296843178364,58727.849361187844,13934.72612938793,111,"firstline-supervisors-of-production-operating-workers","Professional, Scientific & Management, and Administrative & Waste Management Services","54-56","professional-scientific-management-and-administrative-waste-management-services"
"110000-290000","Management, business, science, & arts occupations","290000","Healthcare practitioners & technical occupations","290000","Healthcare practitioners & technical occupations","291126","Respiratory therapists",2017,"2017","true","true",646,624.0078713750227,78299.2120743034,18364.2669672225,5,"respiratory-therapists","Professional, Scientific & Management, and Administrative & Waste Management Services","54-56","professional-scientific-management-and-administrative-waste-management-services"
"110000-290000","Management, business, science, & arts occupations","150000-190000","Computer, engineering, & science occupations","190000","Life, physical, & social science occupations","1910XX","Medical scientists, & life scientists, all other",2017,"2017","true","true",33671,4504.5692042768615,93336.64283805055,8903.066509191818,324,"medical-scientists-life-scientists-all-other","Professional, Scientific & Management, and Administrative & Waste Management Services","54-56","professional-scientific-management-and-administrative-waste-management-services"
"450000-490000","Natural resources, construction, & maintenance occupations","470000","Construction & Extraction Occupations","470000","Construction & Extraction Occupations","472150","Pipelayers, plumbers, pipefitters, & steamfitters",2017,"2017","true","true",13361,2837.7530482109432,50884.08060773894,6660.923413141878,93,"pipelayers-plumbers-pipefitters-steamfitters","Professional, Scientific & Management, and Administrative & Waste Management Services","54-56","professional-scientific-management-and-administrative-waste-management-services"
"110000-290000","Management, business, science, & arts occupations","290000","Healthcare practitioners & technical occupations","290000","Healthcare practitioners & technical occupations","291127","Speechlanguage pathologists",2017,"2017","true","true",1347,901.0659453326709,51068.42242019302,7058.837428526432,11,"speechlanguage-pathologists","Professional, Scientific & Management, and Administrative & Waste Management Services","54-56","professional-scientific-management-and-administrative-waste-management-services"
"110000-290000","Management, business, science, & arts occupations","150000-190000","Computer, engineering, & science occupations","190000","Life, physical, & social science occupations","191030","Conservation scientists & foresters",2017,"2017","true","true",1151,832.9342652503561,44703.42832319722,11621.028976187798,14,"conservation-scientists-foresters","Professional, Scientific & Management, and Administrative & Waste Management Services","54-56","professional-scientific-management-and-administrative-waste-management-services"
"510000-530000","Production, Transportation, & Material Moving Occupations","510000","Production Occupations","510000","Production Occupations","512020","Electrical, electronics, & electromechanical assemblers",2017,"2017","true","true",1003,777.5418090987574,19591.056829511464,11780.86493780962,9,"electrical-electronics-electromechanical-assemblers","Professional, Scientific & Management, and Administrative & Waste Management Services","54-56","professional-scientific-management-and-administrative-waste-management-services"
"110000-290000","Management, business, science, & arts occupations","290000","Healthcare practitioners & technical occupations","290000","Healthcare practitioners & technical occupations","29112X","Other therapists, including exercise physiologists",2017,"2017","true","true",1699,1011.9730583944505,41622.83755150088,12144.047895011467,17,"other-therapists-including-exercise-physiologists","Professional, Scientific & Management, and Administrative & Waste Management Services","54-56","professional-scientific-management-and-administrative-waste-management-services"
"450000-490000","Natural resources, construction, & maintenance occupations","470000","Construction & Extraction Occupations","470000","Construction & Extraction Occupations","472140","Painters & paperhangers",2017,"2017","true","true",5783,1866.9937045229356,28541.618882932733,6328.5159324372635,43,"painters-paperhangers","Professional, Scientific & Management, and Administrative & Waste Management Services","54-56","professional-scientific-management-and-administrative-waste-management-services"
"110000-290000","Management, business, science, & arts occupations","290000","Healthcare practitioners & technical occupations","290000","Healthcare practitioners & technical occupations","291131","Veterinarians",2017,"2017","true","true",67239,6364.82572239296,100544.93210785407,7645.013761706318,743,"veterinarians","Professional, Scientific & Management, and Administrative & Waste Management Services","54-56","professional-scientific-management-and-administrative-waste-management-services"
"110000-290000","Management, business, science, & arts occupations","150000-190000","Computer, engineering, & science occupations","190000","Life, physical, & social science occupations","191020","Biological scientists",2017,"2017","true","true",22905,3715.40561706785,73298.57227679546,10144.990880412372,252,"biological-scientists","Professional, Scientific & Management, and Administrative & Waste Management Services","54-56","professional-scientific-management-and-administrative-waste-management-services"
"510000-530000","Production, Transportation, & Material Moving Occupations","510000","Production Occupations","510000","Production Occupations","512031","Engine & other machine assemblers",2017,"2017","true","true",1244,865.9306662446402,43399.028938906755,14022.512284288141,10,"engine-other-machine-assemblers","Professional, Scientific & Management, and Administrative & Waste Management Services","54-56","professional-scientific-management-and-administrative-waste-management-services"
"450000-490000","Natural resources, construction, & maintenance occupations","470000","Construction & Extraction Occupations","470000","Construction & Extraction Occupations","472111","Electricians",2017,"2017","true","true",11742,2660.2872624263564,53070.47496167604,6487.74344604518,107,"electricians","Professional, Scientific & Management, and Administrative & Waste Management Services","54-56","professional-scientific-management-and-administrative-waste-management-services"
