ID Major Occupation Group,Major Occupation Group,ID Minor Occupation Group,Minor Occupation Group,ID Broad Occupation,Broad Occupation,ID Detailed Occupation,Detailed Occupation,ID Year,Year,ID Workforce Status,Workforce Status,Total Population,Total Population MOE Appx,Average Wage,Average Wage Appx MOE,Record Count,Slug Detailed Occupation,PUMS Industry,ID PUMS Industry,Slug PUMS Industry,ID Industry Sector,Industry Sector,Slug Industry Sector
"510000-530000","Production, Transportation, & Material Moving Occupations","530000","Transportation & Material Moving Occupations","537000","Material Moving Occupations","537064","Packers & packagers, hand",2016,"2016","true","true",4605,1666.029542283655,18763.48165038002,3347.555123080549,38,"packers-packagers-hand","Other Services, Except Public Administration","81","other-services-except-public-administration-81","81","Other Services, Except Public Administration","other-services-except-public-administration"
"450000-490000","Natural resources, construction, & maintenance occupations","490000","Installation, maintenance, & repair occupations","490000","Installation, maintenance, & repair occupations","493021","Automotive body & related repairers",2016,"2016","true","true",101584,7822.321149906837,41111.11469325878,1885.0384948669684,953,"automotive-body-related-repairers","Other Services, Except Public Administration","81","other-services-except-public-administration-81","81","Other Services, Except Public Administration","other-services-except-public-administration"
"410000-430000","Sales & Office Occupations","430000","Office & Administrative Support Occupations","430000","Office & Administrative Support Occupations","439021","Data entry keyers",2016,"2016","true","true",9641,2410.579175802997,24216.25152992428,6995.684201804581,105,"data-entry-keyers","Other Services, Except Public Administration","81","other-services-except-public-administration-81","81","Other Services, Except Public Administration","other-services-except-public-administration"
"110000-290000","Management, business, science, & arts occupations","110000-130000","Management, business, & financial occupations","130000","Business & financial operations occupations","131070","Human resources workers",2016,"2016","true","true",36637,4698.724542099866,65275.576384529304,6537.4732895809,365,"human-resources-workers","Other Services, Except Public Administration","81","other-services-except-public-administration-81","81","Other Services, Except Public Administration","other-services-except-public-administration"
"310000-390000","Service Occupations","350000","Food Preparation & Serving Related Occupations","350000","Food Preparation & Serving Related Occupations","353011","Bartenders",2016,"2016","true","true",10795,2550.762119303305,13630.394163964798,2468.4630272175887,101,"bartenders","Other Services, Except Public Administration","81","other-services-except-public-administration-81","81","Other Services, Except Public Administration","other-services-except-public-administration"
"110000-290000","Management, business, science, & arts occupations","210000-270000","Education, legal, community service, arts, & media occupations","270000","Arts, design, entertainment, sports, & media occupations","271010","Artists & related workers",2016,"2016","true","true",3687,1490.7534419456802,46082.65446162192,14823.145017959569,27,"artists-related-workers","Other Services, Except Public Administration","81","other-services-except-public-administration-81","81","Other Services, Except Public Administration","other-services-except-public-administration"
"510000-530000","Production, Transportation, & Material Moving Occupations","510000","Production Occupations","510000","Production Occupations","516093","Upholsterers",2016,"2016","true","true",8530,2267.4438129012087,33931.55990621336,6804.473174610224,68,"upholsterers","Other Services, Except Public Administration","81","other-services-except-public-administration-81","81","Other Services, Except Public Administration","other-services-except-public-administration"
"410000-430000","Sales & Office Occupations","430000","Office & Administrative Support Occupations","430000","Office & Administrative Support Occupations","439011","Computer operators",2016,"2016","true","true",1242,865.2342481856701,19890.290660225444,12421.025769867927,11,"computer-operators","Other Services, Except Public Administration","81","other-services-except-public-administration-81","81","Other Services, Except Public Administration","other-services-except-public-administration"
"310000-390000","Service Occupations","350000","Food Preparation & Serving Related Occupations","350000","Food Preparation & Serving Related Occupations","353022","Counter attendants, cafeteria, food concession, & coffee shop",2016,"2016","true","true",547,574.2058395271522,13371.263254113346,6233.965266898615,7,"counter-attendants-cafeteria-food-concession-coffee-shop","Other Services, Except Public Administration","81","other-services-except-public-administration-81","81","Other Services, Except Public Administration","other-services-except-public-administration"
"510000-530000","Production, Transportation, & Material Moving Occupations","510000","Production Occupations","510000","Production Occupations","511011","Firstline supervisors of production & operating workers",2016,"2016","true","true",14649,2971.370917725449,43200.80578879105,6142.696379000057,140,"firstline-supervisors-of-production-operating-workers","Other Services, Except Public Administration","81","other-services-except-public-administration-81","81","Other Services, Except Public Administration","other-services-except-public-administration"
