ID Major Occupation Group,Major Occupation Group,ID Minor Occupation Group,Minor Occupation Group,ID Broad Occupation,Broad Occupation,ID Detailed Occupation,Detailed Occupation,ID Year,Year,ID Workforce Status,Workforce Status,Total Population,Total Population MOE Appx,Average Wage,Average Wage Appx MOE,Record Count,Slug Detailed Occupation,PUMS Industry,ID PUMS Industry,Slug PUMS Industry,ID Industry Sector,Industry Sector,Slug Industry Sector
"510000-530000","Production, Transportation, & Material Moving Occupations","510000","Production Occupations","510000","Production Occupations","513092","Food batchmakers",2016,"2016","true","true",1644,995.4586159332166,35580.360705596104,7829.288634584152,10,"food-batchmakers","Wholesale Trade","42","wholesale-trade-42","42","Wholesale Trade","wholesale-trade"
"110000-290000","Management, business, science, & arts occupations","210000-270000","Education, legal, community service, arts, & media occupations","230000","Legal Occupations","232090","Miscellaneous legal support workers",2016,"2016","true","true",1931,1078.8548331808302,56005.718280683584,37546.27270862976,20,"miscellaneous-legal-support-workers","Wholesale Trade","42","wholesale-trade-42","42","Wholesale Trade","wholesale-trade"
"450000-490000","Natural resources, construction, & maintenance occupations","490000","Installation, maintenance, & repair occupations","490000","Installation, maintenance, & repair occupations","492092","Electric motor, power tool, & related repairers",2016,"2016","true","true",1581,976.1989413159179,53997.60404807084,15947.744067166403,18,"electric-motor-power-tool-related-repairers","Wholesale Trade","42","wholesale-trade-42","42","Wholesale Trade","wholesale-trade"
"510000-530000","Production, Transportation, & Material Moving Occupations","510000","Production Occupations","510000","Production Occupations","519020","Crushing, grinding, polishing, mixing, & blending workers",2016,"2016","true","true",2933,1329.6165418977344,39024.50596658711,7412.917025774148,25,"crushing-grinding-polishing-mixing-blending-workers","Wholesale Trade","42","wholesale-trade-42","42","Wholesale Trade","wholesale-trade"
"410000-430000","Sales & Office Occupations","410000","Sales & related occupations","410000","Sales & related occupations","412010","Cashiers",2016,"2016","true","true",15950,3100.496741807127,19743.90921630094,4142.006432047939,142,"cashiers","Wholesale Trade","42","wholesale-trade-42","42","Wholesale Trade","wholesale-trade"
"110000-290000","Management, business, science, & arts occupations","150000-190000","Computer, engineering, & science occupations","150000","Computer & mathematical occupations","152031","Operations research analysts",2016,"2016","true","true",2042,1109.4291628584792,82942.94711067581,19663.507198562293,15,"operations-research-analysts","Wholesale Trade","42","wholesale-trade-42","42","Wholesale Trade","wholesale-trade"
"110000-290000","Management, business, science, & arts occupations","110000-130000","Management, business, & financial occupations","130000","Business & financial operations occupations","132031","Budget analysts",2016,"2016","true","true",502,550.0800157755083,52988.6952191235,9551.647187656425,5,"budget-analysts","Wholesale Trade","42","wholesale-trade-42","42","Wholesale Trade","wholesale-trade"
"510000-530000","Production, Transportation, & Material Moving Occupations","530000","Transportation & Material Moving Occupations","537000","Material Moving Occupations","537051","Industrial truck & tractor operators",2016,"2016","true","true",78014,6855.584441140776,34149.086702386754,1788.8615916983936,622,"industrial-truck-tractor-operators","Wholesale Trade","42","wholesale-trade-42","42","Wholesale Trade","wholesale-trade"
"450000-490000","Natural resources, construction, & maintenance occupations","490000","Installation, maintenance, & repair occupations","490000","Installation, maintenance, & repair occupations","492020","Radio & telecommunications equipment installers & repairers",2016,"2016","true","true",1979,1092.1812085431777,35660.36685194543,15491.000278765774,16,"radio-telecommunications-equipment-installers-repairers","Wholesale Trade","42","wholesale-trade-42","42","Wholesale Trade","wholesale-trade"
"410000-430000","Sales & Office Occupations","410000","Sales & related occupations","410000","Sales & related occupations","412021","Counter & rental clerks",2016,"2016","true","true",2036,1107.798071142786,39366.50343811395,11646.608748602894,24,"counter-rental-clerks","Wholesale Trade","42","wholesale-trade-42","42","Wholesale Trade","wholesale-trade"
"110000-290000","Management, business, science, & arts occupations","210000-270000","Education, legal, community service, arts, & media occupations","250000","Education, Training, & Library Occupations","253000","Other teachers & instructors",2016,"2016","true","true",4355,1620.1765197518225,54957.82893226177,10692.524139341389,42,"other-teachers-instructors","Wholesale Trade","42","wholesale-trade-42","42","Wholesale Trade","wholesale-trade"
"110000-290000","Management, business, science, & arts occupations","110000-130000","Management, business, & financial occupations","110000","Management occupations","113021","Computer & information systems managers",2016,"2016","true","true",15155,3022.2479622770425,109320.20026393929,12560.077225028737,164,"computer-information-systems-managers","Wholesale Trade","42","wholesale-trade-42","42","Wholesale Trade","wholesale-trade"
"510000-530000","Production, Transportation, & Material Moving Occupations","510000","Production Occupations","510000","Production Occupations","519198","Helpersproduction workers",2016,"2016","true","true",1307,887.5863207632999,23120.560061208875,6820.179240719971,10,"helpersproduction-workers","Wholesale Trade","42","wholesale-trade-42","42","Wholesale Trade","wholesale-trade"
"110000-290000","Management, business, science, & arts occupations","150000-190000","Computer, engineering, & science occupations","150000","Computer & mathematical occupations","1520XX","Miscellaneous mathematical science occupations, including mathematicians & statisticians",2016,"2016","true","true",1097,813.1607991853556,92560.50683682771,47943.62705529152,12,"miscellaneous-mathematical-science-occupations-including-mathematicians-statisticians","Wholesale Trade","42","wholesale-trade-42","42","Wholesale Trade","wholesale-trade"
"410000-430000","Sales & Office Occupations","410000","Sales & related occupations","410000","Sales & related occupations","412022","Parts salespersons",2016,"2016","true","true",11412,2622.639484598231,40709.451542236246,8165.08172200725,120,"parts-salespersons","Wholesale Trade","42","wholesale-trade-42","42","Wholesale Trade","wholesale-trade"
"510000-530000","Production, Transportation, & Material Moving Occupations","510000","Production Occupations","510000","Production Occupations","513020","Butchers & other meat, poultry, & fish processing workers",2016,"2016","true","true",8635,2281.355850105984,30945.566068326578,4296.591146342511,63,"butchers-other-meat-poultry-fish-processing-workers","Wholesale Trade","42","wholesale-trade-42","42","Wholesale Trade","wholesale-trade"
"110000-290000","Management, business, science, & arts occupations","210000-270000","Education, legal, community service, arts, & media occupations","250000","Education, Training, & Library Occupations","2590XX","Other education, training, & library workers",2016,"2016","true","true",726,661.5184855795554,93755.64876033057,47944.24215032693,6,"other-education-training-library-workers","Wholesale Trade","42","wholesale-trade-42","42","Wholesale Trade","wholesale-trade"
"450000-490000","Natural resources, construction, & maintenance occupations","490000","Installation, maintenance, & repair occupations","490000","Installation, maintenance, & repair occupations","492011","Computer, automated teller, & office machine repairers",2016,"2016","true","true",10046,2460.6868086494096,44779.885626119845,5794.718713222794,95,"computer-automated-teller-office-machine-repairers","Wholesale Trade","42","wholesale-trade-42","42","Wholesale Trade","wholesale-trade"
"110000-290000","Management, business, science, & arts occupations","110000-130000","Management, business, & financial occupations","130000","Business & financial operations occupations","132041","Credit analysts",2016,"2016","true","true",664,632.6416883083024,58279.25602409639,21856.88804235373,8,"credit-analysts","Wholesale Trade","42","wholesale-trade-42","42","Wholesale Trade","wholesale-trade"
"410000-430000","Sales & Office Occupations","410000","Sales & related occupations","410000","Sales & related occupations","412031","Retail salespersons",2016,"2016","true","true",6221,1936.402202266265,62341.790548143385,26520.63709105784,66,"retail-salespersons","Wholesale Trade","42","wholesale-trade-42","42","Wholesale Trade","wholesale-trade"
"110000-290000","Management, business, science, & arts occupations","110000-130000","Management, business, & financial occupations","110000","Management occupations","119041","Architectural & engineering managers",2016,"2016","true","true",2797,1298.4248372059112,154002.31462281014,47243.9712008953,30,"architectural-engineering-managers","Wholesale Trade","42","wholesale-trade-42","42","Wholesale Trade","wholesale-trade"
"110000-290000","Management, business, science, & arts occupations","210000-270000","Education, legal, community service, arts, & media occupations","270000","Arts, design, entertainment, sports, & media occupations","271010","Artists & related workers",2016,"2016","true","true",1169,839.4218473967809,73772.85543199316,48797.735755243375,15,"artists-related-workers","Wholesale Trade","42","wholesale-trade-42","42","Wholesale Trade","wholesale-trade"
"510000-530000","Production, Transportation, & Material Moving Occupations","510000","Production Occupations","510000","Production Occupations","519010","Chemical processing machine setters, operators, & tenders",2016,"2016","true","true",800,694.4141427788007,46147.52875,7391.135553916917,7,"chemical-processing-machine-setters-operators-tenders","Wholesale Trade","42","wholesale-trade-42","42","Wholesale Trade","wholesale-trade"
"450000-490000","Natural resources, construction, & maintenance occupations","490000","Installation, maintenance, & repair occupations","490000","Installation, maintenance, & repair occupations","491011","Firstline supervisors of mechanics, installers, & repairers",2016,"2016","true","true",7075,2065.0349854294723,63774.694982332156,9280.556890777625,70,"firstline-supervisors-of-mechanics-installers-repairers","Wholesale Trade","42","wholesale-trade-42","42","Wholesale Trade","wholesale-trade"
"410000-430000","Sales & Office Occupations","410000","Sales & related occupations","410000","Sales & related occupations","413011","Advertising sales agents",2016,"2016","true","true",1245,866.2785778881384,74887.33654618474,37723.72158667894,12,"advertising-sales-agents","Wholesale Trade","42","wholesale-trade-42","42","Wholesale Trade","wholesale-trade"
"110000-290000","Management, business, science, & arts occupations","110000-130000","Management, business, & financial occupations","110000","Management occupations","112031","Public relations & fundraising managers",2016,"2016","true","true",462,527.7096747904453,81246.0541125541,48767.13934974459,5,"public-relations-fundraising-managers","Wholesale Trade","42","wholesale-trade-42","42","Wholesale Trade","wholesale-trade"
"510000-530000","Production, Transportation, & Material Moving Occupations","510000","Production Occupations","510000","Production Occupations","513011","Bakers",2016,"2016","true","true",3274,1404.7828814432828,25108.88423946243,7841.701651777005,28,"bakers","Wholesale Trade","42","wholesale-trade-42","42","Wholesale Trade","wholesale-trade"
"110000-290000","Management, business, science, & arts occupations","110000-130000","Management, business, & financial occupations","130000","Business & financial operations occupations","131051","Cost estimators",2016,"2016","true","true",5138,1759.803328276647,57972.4737251849,23275.586836446728,50,"cost-estimators","Wholesale Trade","42","wholesale-trade-42","42","Wholesale Trade","wholesale-trade"
"110000-290000","Management, business, science, & arts occupations","210000-270000","Education, legal, community service, arts, & media occupations","270000","Arts, design, entertainment, sports, & media occupations","271020","Designers",2016,"2016","true","true",25565,3925.1790466914426,52982.13088206532,8071.684046566969,240,"designers","Wholesale Trade","42","wholesale-trade-42","42","Wholesale Trade","wholesale-trade"
"110000-290000","Management, business, science, & arts occupations","110000-130000","Management, business, & financial occupations","110000","Management occupations","111021","General & operations managers",2016,"2016","true","true",49637,5468.942717763543,99049.64800451277,9540.629656987718,517,"general-operations-managers","Wholesale Trade","42","wholesale-trade-42","42","Wholesale Trade","wholesale-trade"
"450000-490000","Natural resources, construction, & maintenance occupations","470000","Construction & Extraction Occupations","470000","Construction & Extraction Occupations","47XXXX","Miscellaneous construction workers, including solar photovoltaic installers, septic tank servicers & sewer pipe cleaners",2016,"2016","true","true",648,624.9730551904677,9885.555555555555,18140.5546437545,10,"miscellaneous-construction-workers-including-solar-photovoltaic-installers-septic-tank-servicers-sewer-pipe-cleaners","Wholesale Trade","42","wholesale-trade-42","42","Wholesale Trade","wholesale-trade"
"110000-290000","Management, business, science, & arts occupations","110000-130000","Management, business, & financial occupations","130000","Business & financial operations occupations","132051","Financial analysts",2016,"2016","true","true",4288,1607.6656873554205,85712.53708022388,24801.64285904962,45,"financial-analysts","Wholesale Trade","42","wholesale-trade-42","42","Wholesale Trade","wholesale-trade"
"410000-430000","Sales & Office Occupations","410000","Sales & related occupations","410000","Sales & related occupations","413099","Sales representatives, services, all other",2016,"2016","true","true",1962,1087.4801284997866,86596.87308868501,40567.91970933997,28,"sales-representatives-services-all-other","Wholesale Trade","42","wholesale-trade-42","42","Wholesale Trade","wholesale-trade"
"510000-530000","Production, Transportation, & Material Moving Occupations","510000","Production Occupations","510000","Production Occupations","518090","Miscellaneous plant & system operators",2016,"2016","true","true",1481,944.8221714130867,59839.025658338964,7867.702003202033,11,"miscellaneous-plant-system-operators","Wholesale Trade","42","wholesale-trade-42","42","Wholesale Trade","wholesale-trade"
